key,wine_raw,vintage,format_ml,price,source,source_type,fetched,hits
ceretto barbaresco bricco asili bernardot|2004|750,Ceretto Barbaresco Bricco Asili Bernardot,2004,750,95,"Estimate: Ceretto single-vineyard Barbaresco Bernardot typically retails $70-90 at current release; a mature, well-rated (90pt) 2004 commands a modest age/rarity premium on the secondary market",estimate,2026-08-24,0
ceretto barolo bricco rocche|1998|750,Ceretto Barolo Bricco Rocche,1998,750,250,"Estimate: Ceretto Bricco Rocche (flagship single-hectare cru) retails $300-450 at current release; the 1998 (excellent vintage, 92-93pt) is a sought after but mature collector bottle, typically trading somewhat below current-release price",estimate,2026-08-24,0
chandon de briailles pernand vergelesses ile des vergelesses|2015|750,Chandon de Briailles Pernand-Vergelesses Ile des Vergelesses,2015,750,124,"Wine-Searcher average retail, all-vintage average",ws_allvintage,2026-08-24,0
charles heidsieck brut reserve|NV|750,Charles Heidsieck Brut Réserve,NV,750,67,Wine-Searcher average retail,ws_vintage,2026-08-24,0
charles van canneyt bourgogne rouge|2013|750,Charles Van Canneyt Bourgogne Rouge,2013,750,39,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau bellevue|2021|750,Château Bellevue,2021,750,70,"Wine-Searcher average retail, all-vintage average",ws_allvintage,2026-08-24,0
chateau branaire ducru|1982|750,Château Branaire-Ducru,1982,750,263,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau branaire ducru|2021|1500,Château Branaire-Ducru,2021,1500,118.8,"Wine-Searcher average retail, vintage-specific (scaled from 750ml)",ws_vintage,2026-08-24,0
chateau calon segur|2019|750,Château Calon-Segur,2019,750,185,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau canon|1983|750,Château Canon,1983,750,329,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau cantemerle|2017|750,Château Cantemerle,2017,750,38,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau cantenac brown|2022|750,Château Cantenac-Brown,2022,750,75,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau carignan cuvee prima|2005|6000,Château Carignan Cuvee Prima,2005,6000,103.04,"Wine-Searcher listing, single retailer (Atlas Fine Wines, London), scaled from 750ml",ws_single_retailer,2026-08-24,0
chateau climens asphodele|2019|750,Château Climens Asphodele,2019,750,42.99,"Wine-Searcher listing, single retailer (Plucky Wines, NJ)",ws_single_retailer,2026-08-24,0
chateau d armailhac|1997|750,Château d'Armailhac,1997,750,78,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau dassault|2015|750,Château Dassault,2015,750,57,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau dassault|2016|750,Château Dassault,2016,750,65,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau de beaucastel chateauneuf du pape|2004|750,Chateau de Beaucastel Châteauneuf-du-Pape,2004,750,98,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau de beaucastel chateauneuf du pape|2006|750,Chateau de Beaucastel Châteauneuf-du-Pape,2006,750,146.5,"Wine-Searcher average retail, adjacent vintages averaged (no 2006-specific listing found)",ws_adjacent,2026-08-24,0
chateau de beaucastel chateauneuf du pape|2015|750,Chateau de Beaucastel Châteauneuf-du-Pape,2015,750,114,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau de beaucastel chateauneuf du pape|2016|750,Chateau de Beaucastel Châteauneuf-du-Pape,2016,750,108,"Wine-Searcher average retail, likely all-vintage average page (2016-specific tag not clearly shown in snippet)",ws_allvintage,2026-08-24,0
chateau de la tour clos vougeot|2014|750,Chateau de La Tour Clos Vougeot,2014,750,345,"Wine-Searcher average retail (ex-tax), vintage-specific (Vieilles Vignes Grand Cru bottling)",ws_vintage,2026-08-24,0
chateau de malle|1971|750,Château De Malle,1971,750,150,Estimate based on general knowledge of comparable 2nd Cru Classe Sauternes from a strong vintage at this age,estimate,2026-08-24,0
chateau des tours cotes du rhone reserve|2014|750,Chateau des Tours Côtes du Rhône Reserve,2014,750,250,"Wine-Searcher average retail, vintage-specific (91/100 rating tied to average price)",ws_vintage,2026-08-24,0
chateau du moulin noir|1996|750,Château du Moulin Noir,1996,750,,Insufficient data,insufficient,2026-08-24,0
chateau faugeres|2000|750,Château Faugeres,2000,750,65,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau ferriere|2015|750,Château Ferriere,2015,750,60,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau fleur cardinale|2014|750,Château Fleur Cardinale,2014,750,65,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau gloria|1996|750,Château Gloria,1996,750,88,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau gloria|2022|750,Château Gloria,2022,750,50,"Wine-Searcher-referenced pricing, vintage-specific (approximate)",ws_vintage,2026-08-24,0
chateau grand mayne|1989|750,Château Grand-Mayne,1989,750,130,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau grand mayne|2015|750,Château Grand-Mayne,2015,750,71,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau grand puy lacoste|2016|750,Château Grand-Puy-Lacoste,2016,750,109,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau l arrosee|1966|750,Château L'Arrosee,1966,750,218,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau la gaffeliere|2010|750,Château La Gaffeliere,2010,750,,Insufficient data,insufficient,2026-08-24,0
chateau la gaffeliere|2014|750,Château La Gaffeliere,2014,750,65,Estimate based on producer reputation and vintage quality; Wine-Searcher snippet price appeared to be for a different (second-label) bottling,estimate,2026-08-24,0
chateau la lagune|1988|750,Château La Lagune,1988,750,92,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau lagrange|2016|750,Château LaGrange,2016,750,93,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau lalande|2022|750,Château Lalande,2022,750,39,"Wine-Searcher average retail, vintage-specific (Château Lalande, St-Julien)",ws_vintage,2026-08-24,0
chateau larroque|1990|750,Château Larroque,1990,750,,Insufficient data,insufficient,2026-08-24,0
chateau lascombes|2005|750,Château Lascombes,2005,750,139,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau lascombes|2006|750,Château Lascombes,2006,750,147,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau leoville barton|1998|750,Château Leoville-Barton,1998,750,118,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau leoville barton|2015|750,Château Leoville-Barton,2015,750,106,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau leoville barton|2019|750,Château Leoville-Barton,2019,750,148,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau leoville las cases|1979|750,Château Leoville-Las-Cases,1979,750,180,Estimate based on producer/appellation/vintage reputation,estimate,2026-08-24,0
chateau les grandes murailles|2018|750,Château Les Grandes-Murailles,2018,750,40,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau lynch bages|2021|750,Château Lynch-Bages,2021,750,75,Estimate based on producer/appellation/vintage reputation,estimate,2026-08-24,0
chateau meyney|2018|750,Château Meyney,2018,750,51,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau mongravey|2020|750,Château Mongravey,2020,750,55,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau mongravey|2021|750,Château Mongravey,2021,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau mongravey|2022|750,Château Mongravey,2022,750,46,Estimate based on same-producer adjacent-vintage Wine-Searcher averages,estimate,2026-08-24,0
chateau montviel|1994|750,Château Montviel,1994,750,35,Estimate based on producer/appellation/vintage reputation,estimate,2026-08-24,0
chateau nairac|1975|750,Château Nairac,1975,750,70,Estimate based on producer/appellation/vintage reputation,estimate,2026-08-24,0
chateau pavie macquin|2000|750,Château Pavie-Macquin,2000,750,213,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau pey la tour|2022|750,Château Pey La Tour,2022,750,31,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau poujeaux|2010|750,Château Poujeaux,2010,750,53,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,2026-08-24,0
chateau simone graves blanc|2019|750,Chateau Simone Graves Blanc,2019,750,,Insufficient data,insufficient,2026-08-24,0
chateau siran|1983|750,Château Siran,1983,750,84,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau sociando mallet|1989|750,Château Sociando-Mallet,1989,750,,Insufficient data,insufficient,2026-08-24,0
chateau soleil|2012|750,Chateau Soleil,2012,750,,Insufficient data,insufficient,2026-08-24,0
chateau suduiraut|1996|750,Château Suduiraut,1996,750,,Insufficient data,insufficient,2026-08-24,0
chateau suduiraut|2017|375,Château Suduiraut,2017,375,50,"Wine-Searcher average retail, vintage-specific (scaled from 750ml)",ws_vintage,2026-08-24,0
chateau thivin brouilly reverdon|2020|750,Chateau Thivin Brouilly Reverdon,2020,750,25,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
chateau tournefeuille|2019|750,Château Tournefeuille,2019,750,39,"Wine-Searcher average retail, adjacent vintage (2020) used as proxy",ws_adjacent,2026-08-24,0
chateau tournefeuille|2020|750,Château Tournefeuille,2020,750,39,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
christian moreau chablis valmur|2007|750,Christian Moreau Chablis Valmur,2007,750,148,"Wine-Searcher average retail, all-vintage average (current pricing, not 2007-specific)",ws_allvintage,2026-08-24,0
claude manciat pouilly fuisse courtelong|2020|750,Claude Manciat Pouilly-Fuisse Courtelong,2020,750,29.99,"Single reputable retailer listing (CostcoWineBlog / H-E-B pricing), vintage-specific",ws_single_retailer,2026-08-24,0
clerico barolo ciabot mentin ginestra|1998|750,Clerico Barolo Ciabot Mentin Ginestra,1998,750,,Insufficient data,insufficient,2026-08-24,0
clos des papes chateauneuf du pape|2008|1500,Clos des Papes Châteauneuf-du-Pape,2008,1500,250.8,"Wine-Searcher average retail, vintage-specific (scaled to magnum)",ws_vintage,2026-08-24,0
clos du moulin aux moines pommard clos orgelot|2018|750,Clos Du Moulin aux Moines Pommard Clos Orgelot,2018,750,98,"Wine-Searcher average retail, all-vintage average (vintage not specified in listing)",ws_allvintage,2026-08-24,0
comando g la bruja sierra de gredos|2022|750,Comando G. La Bruja Sierra de Gredos,2022,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
cos d estournel|1970|750,Cos d'Estournel,1970,750,228,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
cos d estournel|2011|750,Cos d'Estournel,2011,750,211,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
cos d estournel|2014|750,Cos d'Estournel,2014,750,184,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
couvent des jacobins|1994|750,Couvent des Jacobins,1994,750,,Insufficient data,insufficient,2026-08-24,0
david moreau santenay beaurepaire blanc|2016|750,David Moreau Santenay Beaurepaire Blanc,2016,750,48,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
delamotte blanc de blancs|NV|750,Delamotte Blanc de Blancs,NV,750,58,Estimate based on producer/style knowledge,estimate,2026-08-24,0
demiere ansiot brut grand cru blanc de blancs|NV|750,Demière-Ansiot Brut Grand Cru Blanc de Blancs,NV,750,56,"Wine-Searcher average retail, NV",ws_vintage,2026-08-24,0
domaine bruno clavelier vosne romanee les beaux monts vieilles vignes|2009|750,Domaine Bruno Clavelier Vosne-Romanee Les Beaux Monts Vieilles Vignes,2009,750,190,Estimate based on producer/appellation/vintage,estimate,2026-08-24,0
domaine chateau de la selve berty|2019|750,Domaine Chateau de la Selve Berty,2019,750,20,"Wine-Searcher listing, $20, 88/100 rating",ws_allvintage,2026-08-24,0
domaine claude dugat bourgogne|2022|750,Domaine Claude Dugat Bourgogne,2022,750,37,"Wine-Searcher average retail, vintage-specific (2022), converted from EUR",ws_vintage,2026-08-24,0
domaine de cristia chateauneuf du pape vieilles vignes|2019|750,Domaine De Cristia Châteauneuf-du-Pape Vieilles Vignes,2019,750,45,Estimate based on category/producer norms,estimate,2026-08-24,0
domaine de fa fleurie roche guillon|2016|750,Domaine de Fa Fleurie Roche Guillon,2016,750,35,Estimate based on category/producer norms,estimate,2026-08-24,0
domaine de terrebrune vin de pays du mont caume terre d ombre|2023|750,Domaine de Terrebrune Vin de Pays du Mont Caume Terre d'Ombre,2023,750,25,Single retailer/importer note citing 'mid-$20s' retail price (Kermit Lynch import description),ws_single_retailer,2026-08-24,0
domaine denis pere et fils bourgogne aligote|2009|750,Domaine Denis Pere et Fils Bourgogne Aligoté,2009,750,18,Estimate based on category norms,estimate,2026-08-24,0
domaine denis pere et fils corton charlemagne|2008|750,Domaine Denis Pere et Fils Corton-Charlemagne,2008,750,147,Wine-Searcher average retail (all-vintage producer average),ws_allvintage,2026-08-24,0
domaine denis pere et fils corton charlemagne|2009|750,Domaine Denis Pere et Fils Corton-Charlemagne,2009,750,147,Wine-Searcher average retail (all-vintage producer average),ws_allvintage,2026-08-24,0
domaine denis pere et fils pernand vergelesses sous fretille|2009|750,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,2009,750,48,Estimate based on appellation norms,estimate,2026-08-24,0
domaine denis pere et fils pernand vergelesses|2009|750,Domaine Denis Pere et Fils Pernand-Vergelesses,2009,750,38,"Estimate, informed by adjacent Wine-Searcher data point",estimate,2026-08-24,0
domaine des lambrays morey st denis 1er cru les loups|2019|750,Domaine des Lambrays Morey St. Denis 1er Cru Les Loups,2019,750,200,"Wine-Searcher average, adjacent vintage (2020) used as proxy",ws_adjacent,2026-08-24,0
domaine des lambrays morey st denis 1er cru les loups|2020|750,Domaine des Lambrays Morey St. Denis 1er Cru Les Loups,2020,750,222,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine des malandes chablis vaudesir|2019|750,Domaine des Malandes Chablis Vaudésir,2019,750,96,"Wine-Searcher listing, $96, 92/100 (context: 2019 vintage discussion)",ws_vintage,2026-08-24,0
domaine du collier saumur blanc|2016|750,Domaine du Collier Saumur Blanc,2016,750,90,Estimate using adjacent-vintage Wine-Searcher data (2019 average $126),ws_adjacent,2026-08-24,0
domaine du collier saumur blanc|2018|750,Domaine du Collier Saumur Blanc,2018,750,105,Estimate using adjacent-vintage Wine-Searcher data (2019 average $126),ws_adjacent,2026-08-24,0
domaine du collier saumur blanc|2019|750,Domaine du Collier Saumur Blanc,2019,750,126,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine du collier saumur la ripaille|2016|750,Domaine du Collier Saumur La Ripaille,2016,750,109,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine du collier saumur la ripaille|2018|750,Domaine du Collier Saumur La Ripaille,2018,750,107,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine du collier saumur la ripaille|2019|750,Domaine du Collier Saumur La Ripaille,2019,750,84,"Wine-Searcher store listings, vintage-specific (averaged two listed prices)",ws_vintage,2026-08-24,0
domaine du pegau chateauneuf du pape cuvee reservee|2010|750,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2010,750,127,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine du pegau chateauneuf du pape cuvee reservee|2015|1500,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2015,1500,228,"Wine-Searcher average retail, vintage-specific (scaled from 750ml)",ws_vintage,2026-08-24,0
domaine du pegau chateauneuf du pape cuvee reservee|2015|750,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2015,750,104,"Wine-Searcher average retail, vintage-specific (averaged two snippet figures)",ws_vintage,2026-08-24,0
domaine du pegau chateauneuf du pape cuvee reservee|2016|750,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2016,750,84,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine du pelican arbois savagnin ouille|2018|750,Domaine du Pelican Arbois Savagnin Ouille,2018,750,90,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine du vieux telegraphe chateauneuf du pape|2008|750,Domaine du Vieux Telegraphe Chateauneuf-du-Pape,2008,750,117,"Wine-Searcher average retail, adjacent vintage (2007) used as proxy for 2008",ws_adjacent,2026-08-24,0
domaine grosbois chinon gabare|2020|750,Domaine Grosbois Chinon Gabare,2020,750,42,Wine-Searcher average retail (vintage not explicitly tagged in snippet),ws_allvintage,2026-08-24,0
domaine guiberteau saumur bizay les chapaudaises|2018|750,Domaine Guiberteau Saumur Bizay Les Chapaudaises,2018,750,56,"Wine-Searcher store listings, vintage-specific (averaged two listed prices)",ws_vintage,2026-08-24,0
domaine guiberteau saumur blanc breze clos des carmes|2016|750,Domaine Guiberteau Saumur Blanc Breze Clos des Carmes,2016,750,143,"Wine-Searcher average retail, all-vintage average (2016-specific price not isolated in snippet)",ws_allvintage,2026-08-24,0
domaine guiberteau saumur blanc les moulins|2019|750,Domaine Guiberteau Saumur Blanc Les Moulins,2019,750,37,"Wine-Searcher average retail, not clearly vintage-tagged",ws_allvintage,2026-08-24,0
domaine guiberteau saumur blanc les moulins|2020|750,Domaine Guiberteau Saumur Blanc Les Moulins,2020,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur blanc|2020|750,Domaine Guiberteau Saumur Blanc,2020,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur blanc|2022|750,Domaine Guiberteau Saumur Blanc,2022,750,58,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur breze blanc|2017|750,Domaine Guiberteau Saumur Breze Blanc,2017,750,96,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur breze blanc|2018|750,Domaine Guiberteau Saumur Breze Blanc,2018,750,114,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur breze blanc|2019|750,Domaine Guiberteau Saumur Breze Blanc,2019,750,97,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur breze blanc|2021|750,Domaine Guiberteau Saumur Breze Blanc,2021,750,100,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur clos de guichaux|2018|750,Domaine Guiberteau Saumur Clos de Guichaux,2018,750,67,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur clos de guichaux|2019|750,Domaine Guiberteau Saumur Clos de Guichaux,2019,750,60,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur clos de guichaux|2020|750,Domaine Guiberteau Saumur Clos de Guichaux,2020,750,60,"Wine-Searcher average retail, adjacent vintage (2019) used as substitute",ws_adjacent,2026-08-24,0
domaine guiberteau saumur epieds les chapaudaises|2019|750,Domaine Guiberteau Saumur Épieds Les Chapaudaises,2019,750,65,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur epieds les chapaudaises|2020|750,Domaine Guiberteau Saumur Épieds Les Chapaudaises,2020,750,76.75,"Wine-Searcher retailer prices, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur les arboises|2017|750,Domaine Guiberteau Saumur Les Arboises,2017,750,89,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
domaine guiberteau saumur les arboises|2018|750,Domaine Guiberteau Saumur Les Arboises,2018,750,79.99,"Wine-Searcher listing, vintage-specific (The Red Wagon Wine Shoppe, MI)",ws_vintage,2026-08-24,0
domaine guiberteau saumur les arboises|2019|750,Domaine Guiberteau Saumur Les Arboises,2019,750,35,"Wine-Searcher average retail, vintage-specific",ws_vintage,2026-08-24,0
