id,wine,vintage,format,wine_type,region,country_code,reserve,market,source,source_type
10878879,Château Clos de Sarpe,2019,750ml,Red,"France, Bordeaux, St.-Émilion",FR,55,90,"Wine-Searcher average retail, all-vintage fallback (no 2019-specific figure surfaced)",ws_allvintage
10880490,Château Corbin,2005,750ml,Red,"France, Bordeaux, St.-Émilion",FR,50,62,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880568,Château Corbin,2005,750ml,Red,"France, Bordeaux, St.-Émilion",FR,50,62,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880571,Château Couhins-Lurton (Screwcap),2005,750ml,Red,"France, Bordeaux, Graves",FR,25,,Insufficient data,insufficient
10880658,Château Couhins-Lurton (Screwcap),2005,750ml,Red,"France, Bordeaux, Graves",FR,25,,Insufficient data,insufficient
10880792,Château Dauzac,1998,750ml,Red,"France, Bordeaux, Margaux",FR,45,65,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881749,Chateau de Beaucastel Châteauneuf-du-Pape,2005,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,135,149,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881390,Chateau de Beaucastel Châteauneuf-du-Pape,2009,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,80,164,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881304,Chateau de Beaucastel Châteauneuf-du-Pape,2011,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,70,89,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880602,Chateau de Beaucastel Cotes du Rhone Coudoulet de Beaucastel,2002,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,40,,Insufficient data,insufficient
10880769,Chateau de Beaucastel Cotes du Rhone Coudoulet de Beaucastel,2002,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,40,,Insufficient data,insufficient
10880349,Chateau de la Font du Loup Châteauneuf-du-Pape Beatus,2022,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,70,,Insufficient data,insufficient
10880750,Château des Graviers,2009,750ml,Red,"France, Bordeaux, Margaux",FR,25,50,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881737,Château Duhart-Milon-Rothschild,1979,750ml,Red,"France, Bordeaux, Pauillac",FR,80,,Insufficient data,insufficient
10881736,Château Duhart-Milon-Rothschild,1979,750ml,Red,"France, Bordeaux, Pauillac",FR,80,,Insufficient data,insufficient
10881786,Château Duhart-Milon-Rothschild,1983,750ml,Red,"France, Bordeaux, Pauillac",FR,120,60.99,"Wine.com retail listing, vintage-specific",ws_single_retailer
10881784,Château Duhart-Milon-Rothschild,1985,750ml,Red,"France, Bordeaux, Pauillac",FR,100,,Insufficient data,insufficient
10881785,Château Duhart-Milon-Rothschild,1986,750ml,Red,"France, Bordeaux, Pauillac",FR,90,237,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881787,Château Duhart-Milon-Rothschild,1990,750ml,Red,"France, Bordeaux, Pauillac",FR,125,149,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881817,Château Duhart-Milon-Rothschild,2008,750ml,Red,"France, Bordeaux, Pauillac",FR,90,,Insufficient data,insufficient
10880625,Chateau Fortia Chateauneuf du Pape Cuvee du Baron,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,30,,Insufficient data,insufficient
10880562,Chateau Fortia Chateauneuf du Pape Cuvee du Baron,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,30,,Insufficient data,insufficient
10880728,Chateau Fortia Chateauneuf du Pape Cuvee du Baron,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,30,,Insufficient data,insufficient
10881293,Chateau Fortia Chateauneuf du Pape Cuvee du Baron,2010,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,35,42,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881302,Chateau Fortia Chateauneuf Du Pape Tete De Cru,1977,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,75,96,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881512,Chateau Fortia Châteauneuf-du-Pape Tradition,2010,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,25,45,"Wine-Searcher average retail, all-vintage fallback (Tradition line; no 2010-specific figure surfaced)",ws_allvintage
10881781,Château Giscours,1978,750ml,Red,"France, Bordeaux, Margaux",FR,90,,Insufficient data,insufficient
10880248,Château Giscours,2012,750ml,Red,"France, Bordeaux, Margaux",FR,55,81,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880327,Château Giscours,2015,750ml,Red,"France, Bordeaux, Margaux",FR,75,98,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880265,Château Giscours,2015,750ml,Red,"France, Bordeaux, Margaux",FR,75,98,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880254,Château Grand-Puy-Lacoste,2016,750ml,Red,"France, Bordeaux, Pauillac",FR,95,109,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage
10873341,Château Gruaud-Larose,1989,750ml,Red,"France, Bordeaux, St.-Julien",FR,115,260,"Wine-Searcher average retail, vintage-specific",ws_vintage
10873367,Château Gruaud-Larose,1989,750ml,Red,"France, Bordeaux, St.-Julien",FR,115,260,"Wine-Searcher average retail, vintage-specific",ws_vintage
10878814,Château Gruaud-Larose,2015,750ml,Red,"France, Bordeaux, St.-Julien",FR,75,121,"Wine-Searcher average retail, vintage-specific",ws_vintage
10878815,Château Gruaud-Larose,2016,750ml,Red,"France, Bordeaux, St.-Julien",FR,95,112,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881412,Château Haut Sarpe,1979,750ml,Red,"France, Bordeaux, St.-Émilion",FR,40,37,"iDealwine retail listing, vintage-specific (converted from EUR 34)",ws_single_retailer
10881819,Château Haut-Bages-Liberal,1982,750ml,Red,"France, Bordeaux, Pauillac",FR,95,,Insufficient data,insufficient
10880766,Château Haut-Beausejour,2009,750ml,Red,"France, Bordeaux, St.-Estephe",FR,20,24,"Wine-Searcher average retail, vintage-specific (converted from GBP 19)",ws_vintage
10881965,Château La Dominique,2009,750ml,Red,"France, Bordeaux, St.-Émilion",FR,60,100,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881966,Château La Dominique,2009,750ml,Red,"France, Bordeaux, St.-Émilion",FR,60,100,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881964,Château La Dominique,2009,750ml,Red,"France, Bordeaux, St.-Émilion",FR,60,100,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881267,Château La Lagune,1984,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,60,,Insufficient data,insufficient
10880656,Château La Louviere,2001,750ml,Red,"France, Bordeaux, Graves",FR,30,47,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881388,Château Lalande Borie,1982,750ml,Red,"France, Bordeaux, St.-Julien",FR,65,100,"Single retailer listing ($99.99), vintage-specific",ws_single_retailer
10881389,Château Lalande Borie,1982,750ml,Red,"France, Bordeaux, St.-Julien",FR,65,100,"Single retailer listing ($99.99), vintage-specific",ws_single_retailer
10878877,Château Lamothe-de-Bergeron,2016,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,20,25,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage
10880320,Château Latour a Pomerol,2014,750ml,Red,"France, Bordeaux, Pomerol",FR,70,100,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881193,Château Le Coteau,2015,750ml,Red,"France, Bordeaux, Margaux",FR,25,32,"Wine-Searcher average retail, all-vintage fallback (no 2015-specific figure surfaced)",ws_allvintage
10881975,Château Leoville-Barton,1979,750ml,Red,"France, Bordeaux, St.-Julien",FR,90,,Insufficient data,insufficient
10880763,Château Leoville-Barton,1996,750ml,Red,"France, Bordeaux, St.-Julien",FR,115,210,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage
10881798,Château Leoville-Las-Cases,1983,750ml,Red,"France, Bordeaux, St.-Julien",FR,135,301,"Wine-Searcher average retail, vintage-specific",ws_vintage
10878802,Château Liversan,2016,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,20,17,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880391,Château Marquis-de-Terme,2016,750ml,Red,"France, Bordeaux, Margaux",FR,45,60,"Wine-Searcher average retail, vintage-specific (cross-source range $58-61)",ws_vintage
10881465,Château Pibran,2005,750ml,Red,"France, Bordeaux, Pauillac",FR,40,79,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880412,Château Poesia,2020,750ml,Red,"France, Bordeaux, St.-Émilion",FR,40,43,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881967,Château Potensac,2009,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,35,69,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880616,Château Prieure-Lichine,2005,750ml,Red,"France, Bordeaux, Margaux",FR,60,84,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880615,Château Prieure-Lichine,2005,750ml,Red,"France, Bordeaux, Margaux",FR,60,84,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880219,Château Prieure-Lichine,2015,750ml,Red,"France, Bordeaux, Margaux",FR,50,71,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880208,Château Rauzan-Segla,2016,750ml,Red,"France, Bordeaux, Margaux",FR,105,160,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage
10880444,Château Reignac,2005,750ml,Red,"France, Bordeaux",FR,30,58,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880443,Château Reignac,2005,750ml,Red,"France, Bordeaux",FR,30,58,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881139,Château Rouget,2014,750ml,Red,"France, Bordeaux, Pomerol",FR,30,44,"Wine-Searcher average retail, vintage-specific (cross-source range $44-60)",ws_vintage
10880266,Chateau Saint Cosme Gigondas,2019,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,35,57,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880228,Château Smith-Haut-Lafitte,2015,750ml,Red,"France, Bordeaux, Graves",FR,130,187,"Wine-Searcher average retail, vintage-specific (Red)",ws_vintage
10880638,Château Sociando-Mallet,2005,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,65,93,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880637,Château Sociando-Mallet,2005,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,65,93,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881739,Château Talbot,1989,750ml,Red,"France, Bordeaux, St.-Julien",FR,95,176,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881903,Château Talbot,1989,750ml,Red,"France, Bordeaux, St.-Julien",FR,95,176,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881904,Château Talbot,1989,750ml,Red,"France, Bordeaux, St.-Julien",FR,95,176,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881251,Chevillon-Chezeaux Nuits St. Georges Aux Champs Perdrix,2016,750ml,Red,"France, Burgundy, Côte d'Or",FR,65,,Insufficient data,insufficient
10881298,Clos des Brusquieres Châteauneuf-du-Pape Cuvee Reserve,2007,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,45,,Insufficient data,insufficient
10880590,Clos des Papes Châteauneuf-du-Pape,2004,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,90,119,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880626,Clos des Papes Châteauneuf-du-Pape,2004,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,90,119,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881297,Clos du Mont Olivet Chateauneuf du Pape Cuvee Unique Reserve,1996,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,40,,Insufficient data,insufficient
10880326,Clos Dufourg,2019,750ml,Red,"France, Bordeaux, Margaux",FR,45,68,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880707,Clos Mogador,2002,750ml,Red,"Spain, Cataluna, Priorato",ES,85,,Insufficient data,insufficient
10880768,Clos Mogador,2002,750ml,Red,"Spain, Cataluna, Priorato",ES,85,,Insufficient data,insufficient
10881752,Clos Mogador,2009,750ml,Red,"Spain, Cataluna, Priorato",ES,90,117,"Wine-Searcher average retail, vintage-specific (cross-source range $117-179)",ws_vintage
10881294,Clos Saint Jean Châteauneuf-du-Pape Vieilles Vignes,2007,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,50,70,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881603,Collosorbo Brunello di Montalcino,1995,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,40,,Insufficient data,insufficient
10880955,Corte Aura Franciacorta Satèn,NV,750ml,Sparkling,"Italy, Lombardy, Franciacorta",IT,20,26,"Wine-Searcher average retail, NV",ws_allvintage
10880561,Cuvee du Vatican Chateauneuf du Pape Reserve Sixtine,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,60,,Insufficient data,insufficient
10880644,Cuvee du Vatican Chateauneuf du Pape Reserve Sixtine,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,60,,Insufficient data,insufficient
10880645,Cuvee du Vatican Châteauneuf-du-Pape,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,30,48,"Wine-Searcher average retail, all-vintage fallback (no 2003-specific figure surfaced)",ws_allvintage
10880732,Cuvee du Vatican Châteauneuf-du-Pape,2003,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,30,48,"Wine-Searcher average retail, all-vintage fallback (no 2003-specific figure surfaced)",ws_allvintage
10881396,Daniel Bocquenet Nuits-St.-Georges Aux Saint Julien,1998,750ml,Red,"France, Burgundy, Côte d'Or",FR,70,48,"Wine-Searcher average retail, all-vintage fallback (no 1998-specific figure surfaced)",ws_allvintage
10880518,Dauvissat-Camus Chablis  La Forest,2003,750ml,White,"France, Burgundy, Chablis",FR,115,,Insufficient data,insufficient
10880517,Dauvissat-Camus Chablis  La Forest,2003,750ml,White,"France, Burgundy, Chablis",FR,115,,Insufficient data,insufficient
10880984,Delas Freres Châteauneuf-du-Pape Haute Pierre,2010,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,30,63,"Wine-Searcher average retail, all-vintage fallback (no 2010-specific figure surfaced)",ws_allvintage
10881397,Didier Erker Givry Les Grands Prétans Reserve,1997,750ml,Red,"France, Burgundy, Côte Chalonnaise",FR,55,,Insufficient data,insufficient
10880227,Domaine Ballorin Marsannay La Combe du Pre,2022,750ml,Red,"France, Burgundy, Côte d'Or",FR,50,,Insufficient data,insufficient
10880646,Domaine Bernard Gripa Saint-Joseph,2003,750ml,Red,"France, Rhône Valley, Northern Rhône",FR,40,,Insufficient data,insufficient
10880698,Domaine Bernard Gripa St. Joseph Le Berceau,2003,750ml,Red,"France, Rhône Valley, Northern Rhône",FR,55,,Insufficient data,insufficient
10881403,Domaine Carre-Courbin Pommard Les Grands Épenots,1997,750ml,Red,"France, Burgundy, Côte d'Or",FR,65,,Insufficient data,insufficient
10881411,Domaine Carre-Courbin Volnay Taillepieds,1997,750ml,Red,"France, Burgundy, Côte d'Or",FR,65,,Insufficient data,insufficient
10881256,Domaine De Chevalier (Blanc),2019,750ml,White,"France, Bordeaux, Graves",FR,90,103,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage
10881296,Domaine de la Charbonniere Chateauneuf du Pape Cuvee Mourre des Perdrix,2019,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,70,66,"Wine-Searcher average retail (USA), all-vintage fallback for this cuvee",ws_allvintage
10881432,Domaine de la Charbonniere Châteauneuf-du-Pape,2019,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,40,43,"Wine-Searcher average retail, all-vintage fallback (base cuvee; one retailer listed 2019 at $49.94)",ws_allvintage
10881433,Domaine de la Charbonniere Chateauneuf-du-Pape Cuvee Vieilles Vignes,2019,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,50,81,"Wine-Searcher average retail, all-vintage fallback for this cuvee",ws_allvintage
10880206,Domaine de la Charbonniere Chateauneuf-du-Pape Les Hautes Brusquieres Cuvee Speciale,2015,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,45,69,"Wine-Searcher average retail, all-vintage fallback for this cuvee (same figure returned for 2015 and 2019 queries)",ws_allvintage
10881434,Domaine de la Charbonniere Chateauneuf-du-Pape Les Hautes Brusquieres Cuvee Speciale,2019,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,60,69,"Wine-Searcher average retail, all-vintage fallback for this cuvee (same figure returned for 2015 and 2019 queries)",ws_allvintage
10881391,Domaine de la Janasse Chateauneuf du Pape Cuvee Chaupin,2006,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,65,91,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880396,Domaine de la Vieille Julienne Chateauneuf Du Pape Les Haut Lieux,2020,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,60,84,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880397,Domaine de la Vieille Julienne Chateauneuf du Pape Les Trois Sources,2020,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,55,73,"Wine-Searcher average retail, all-vintage fallback (no 2020-specific figure isolated)",ws_allvintage
10881532,Domaine des 3 Cellier Châteauneuf-du-Pape Alchimie,2017,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,25,40,"Wine-Searcher average retail, all-vintage fallback (no 2017-specific figure surfaced)",ws_allvintage
10873243,Domaine du Cayron Gigondas,2016,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,45,39,"Wine-Searcher average retail, all-vintage fallback (no 2016-specific figure surfaced)",ws_allvintage
10873251,Domaine du Cayron Gigondas,2016,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,45,39,"Wine-Searcher average retail, all-vintage fallback (no 2016-specific figure surfaced)",ws_allvintage
10880247,Domaine Du Cellier Aux Moines Givry Clos du Cellier aux Moines,2019,750ml,Red,"France, Burgundy, Côte Chalonnaise",FR,50,70,"Wine-Searcher average retail, all-vintage fallback (no 2019-specific figure surfaced)",ws_allvintage
10878777,Domaine du Coulet (Matthieu Barret) Cornas Billes Noires,2012,750ml,Red,"France, Rhône Valley, Northern Rhône",FR,55,,Insufficient data,insufficient
10881119,Domaine du Grand Montmirail Gigondas Cuvee Vieilles Vignes,2010,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,25,,Insufficient data,insufficient
10880591,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,1999,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,75,100,"Wine-Searcher average retail, all-vintage fallback (age-worthy cuvee with stable cross-vintage pricing; no 1999-specific figure surfaced)",ws_allvintage
10880592,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,1999,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,75,100,"Wine-Searcher average retail, all-vintage fallback (age-worthy cuvee with stable cross-vintage pricing; no 1999-specific figure surfaced)",ws_allvintage
10881747,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2010,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,135,127,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881104,Domaine du Prieuré Savigny les Beaune Moutier Amet,2012,750ml,Red,"France, Burgundy, Côte d'Or",FR,25,29,"Wine-Searcher average retail, all-vintage fallback (no 2012-specific figure surfaced)",ws_allvintage
